model_name,image_file_name,image_url,product_url
dangelico excel style b amber,dangelico_excel_style_b_amber.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/585309/18905321_800.jpg,https://www.thomann.de/gr/dangelico_excel_style_b_amber.htm?type=category
gretsch g6120de duane eddy,gretsch_g6120de_duane_eddy.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/541579/18870482_800.jpg,https://www.thomann.de/gr/gretsch_g6120de_duane_eddy.htm?type=category
ibanez af95fm ays,ibanez_af95fm_ays.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_42/428917/13019874_800.jpg,https://www.thomann.de/gr/ibanez_af95fm_ays.htm?type=category
ibanez gb10c jazzgitarre georgebenson,ibanez_gb10c_jazzgitarre_georgebenson.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_10/104316/6565634_800.jpg,https://www.thomann.de/gr/ibanez_gb10c_jazzgitarre_georgebenson.htm?type=category
ibanez pm200 nt pat metheny,ibanez_pm200_nt_pat_metheny.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_32/327125/7810632_800.jpg,https://www.thomann.de/gr/ibanez_pm200_nt_pat_metheny.htm?type=category
ibanez gb10bs,ibanez_gb10bs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_17/173729/6635525_800.jpg,https://www.thomann.de/gr/ibanez_gb10bs.htm?type=category
ibanez af75 trs 557208,ibanez_af75_trs_557208.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_55/557208/17827313_800.jpg,https://www.thomann.de/gr/ibanez_af75_trs_557208.htm?type=category
ibanez af75 jbb,ibanez_af75_jbb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/569702/18339578_800.jpg,https://www.thomann.de/gr/ibanez_af75_jbb.htm?type=category
ibanez af95 bs,ibanez_af95_bs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_51/510011/16473641_800.jpg,https://www.thomann.de/gr/ibanez_af95_bs.htm?type=category
ibanez gb10em aa,MISSING_IMAGE,N/A,https://www.thomann.de/gr/ibanez_gb10em_aa.htm?type=category
ibanez gb10em jbb,ibanez_gb10em_jbb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/484579/19440933_800.jpg,https://www.thomann.de/gr/ibanez_gb10em_jbb.htm?type=category
guild a 150 savoy blonde b stock,MISSING_IMAGE,N/A,https://www.thomann.de/gr/guild_a_150_savoy_blonde_b_stock.htm?type=category
godin 5th ave tl gold foil vb,godin_5th_ave_tl_gold_foil_vb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/588804/19037503_800.jpg,https://www.thomann.de/gr/godin_5th_ave_tl_gold_foil_vb.htm?type=category
godin 5th ave tl kingpin p90 oc,godin_5th_ave_tl_kingpin_p90_oc.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/588803/19037578_800.jpg,https://www.thomann.de/gr/godin_5th_ave_tl_kingpin_p90_oc.htm?type=category
harley benton bigtone vintage white b stock,MISSING_IMAGE,N/A,https://www.thomann.de/gr/harley_benton_bigtone_vintage_white_b_stock.htm?type=category
dangelico premier exl1 satin honey blond,dangelico_premier_exl1_satin_honey_blond.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/544816/17511896_800.jpg,https://www.thomann.de/gr/dangelico_premier_exl1_satin_honey_blond.htm?type=category
the loar lh700 vsb,the_loar_lh700_vsb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_23/234561/9389179_800.jpg,https://www.thomann.de/gr/the_loar_lh700_vsb.htm?type=category
