model_name,image_file_name,image_url,product_url
epiphone 1961 les paul sg standard ch,epiphone_1961_les_paul_sg_standard_ch.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_52/525231/16833901_800.jpg,https://www.thomann.de/gr/epiphone_1961_les_paul_sg_standard_ch.htm?type=category
gibson sg standard 64 maestro vos lh,gibson_sg_standard_64_maestro_vos_lh.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/549968/18902466_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_64_maestro_vos_lh.htm?type=category
gibson sg standard trans. teal,gibson_sg_standard_trans._teal.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/589524/19101508_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_trans._teal.htm?type=category
prs se ce 24 standard satin in,prs_se_ce_24_standard_satin_in.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/601454/19505475_800.jpg,https://www.thomann.de/gr/prs_se_ce_24_standard_satin_in.htm?type=category
prs se standard 24 08 ts,prs_se_standard_24_08_ts.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/535123/17224893_800.jpg,https://www.thomann.de/gr/prs_se_standard_24_08_ts.htm?type=category
gibson sg 61 standard classic white,gibson_sg_61_standard_classic_white.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/589498/19103459_800.jpg,https://www.thomann.de/gr/gibson_sg_61_standard_classic_white.htm?type=category
epiphone sg special p 90 faded pelham,epiphone_sg_special_p_90_faded_pelham.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/483482/15755586_800.jpg,https://www.thomann.de/gr/epiphone_sg_special_p_90_faded_pelham.htm?type=category
prs se ce 24 standard satin ch,prs_se_ce_24_standard_satin_ch.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/585616/19217698_800.jpg,https://www.thomann.de/gr/prs_se_ce_24_standard_satin_ch.htm?type=category
harley benton eguitar kit sgstyle,harley_benton_eguitar_kit_sgstyle.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_25/255975/15521685_800.jpg,https://www.thomann.de/gr/harley_benton_eguitar_kit_sgstyle.htm?type=category
prs se custom 24 08 quilt cg,prs_se_custom_24_08_quilt_cg.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/601414/19505445_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_08_quilt_cg.htm?type=category
epiphone sg custom ebony,epiphone_sg_custom_ebony.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482489/15197193_800.jpg,https://www.thomann.de/gr/epiphone_sg_custom_ebony.htm?type=category
harley benton dc junior ltd pelham blue,harley_benton_dc_junior_ltd_pelham_blue.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/480984/18030957_800.jpg,https://www.thomann.de/gr/harley_benton_dc_junior_ltd_pelham_blue.htm?type=category
yamaha revstar rss02t sunset burst,yamaha_revstar_rss02t_sunset_burst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539436/17073238_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rss02t_sunset_burst.htm?type=category
prs se mccarty 594 ch,prs_se_mccarty_594_ch.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/577948/19509192_800.jpg,https://www.thomann.de/gr/prs_se_mccarty_594_ch.htm?type=category
prs 70th se custom 24 quilt bo,prs_70th_se_custom_24_quilt_bo.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/573117/19124878_800.jpg,https://www.thomann.de/gr/prs_70th_se_custom_24_quilt_bo.htm?type=category
yamaha revstar rss20 vintage white,yamaha_revstar_rss20_vintage_white.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539402/18279529_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rss20_vintage_white.htm?type=category
prs 70th se custom 24 08 quilt bo,prs_70th_se_custom_24_08_quilt_bo.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/573131/19126155_800.jpg,https://www.thomann.de/gr/prs_70th_se_custom_24_08_quilt_bo.htm?type=category
prs se custom 24 08 vs,prs_se_custom_24_08_vs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_51/510503/18640757_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_08_vs.htm?type=category
prs se mccarty 594 vintage sb,prs_se_mccarty_594_vintage_sb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/565884/18579638_800.jpg,https://www.thomann.de/gr/prs_se_mccarty_594_vintage_sb.htm?type=category
epiphone sg modern mojave burst,epiphone_sg_modern_mojave_burst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/569656/19033988_800.jpg,https://www.thomann.de/gr/epiphone_sg_modern_mojave_burst.htm?type=category
yamaha revstar rss20 flash green,yamaha_revstar_rss20_flash_green.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539407/18890662_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rss20_flash_green.htm?type=category
prs s2 custom 24 fire red burst,prs_s2_custom_24_fire_red_burst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_59/596120/19474096_800.jpg,https://www.thomann.de/gr/prs_s2_custom_24_fire_red_burst.htm?type=category
prs se ce 24 tu,prs_se_ce_24_tu.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/577383/18611868_800.jpg,https://www.thomann.de/gr/prs_se_ce_24_tu.htm?type=category
hagstrom adina purple burst,hagstrom_adina_purple_burst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/600278/19461831_800.jpg,https://www.thomann.de/gr/hagstrom_adina_purple_burst.htm?type=category
prs se dgt tobacco sunburst,prs_se_dgt_tobacco_sunburst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_55/557655/18355584_800.jpg,https://www.thomann.de/gr/prs_se_dgt_tobacco_sunburst.htm?type=category
gibson sg 61 standard sm,gibson_sg_61_standard_sm.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/570124/18871537_800.jpg,https://www.thomann.de/gr/gibson_sg_61_standard_sm.htm?type=category
yamaha revstar rss20 hot merlot,yamaha_revstar_rss20_hot_merlot.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539441/19018043_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rss20_hot_merlot.htm?type=category
duesenberg falken tremolo matte bk sed,duesenberg_falken_tremolo_matte_bk_sed.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/587765/18999518_800.jpg,https://www.thomann.de/gr/duesenberg_falken_tremolo_matte_bk_sed.htm?type=category
gibson sg supreme wine red,gibson_sg_supreme_wine_red.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/569740/19129253_800.jpg,https://www.thomann.de/gr/gibson_sg_supreme_wine_red.htm?type=category
prs se custom 24 bg,prs_se_custom_24_bg.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_51/510496/16355263_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_bg.htm?type=category
prs se custom 24 tu,prs_se_custom_24_tu.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/577894/19508941_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_tu.htm?type=category
prs se swamp ash special ib,prs_se_swamp_ash_special_ib.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/577391/18612283_800.jpg,https://www.thomann.de/gr/prs_se_swamp_ash_special_ib.htm?type=category
epiphone tony iommi sg special w case,epiphone_tony_iommi_sg_special_w_case.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/549136/17677084_800.jpg,https://www.thomann.de/gr/epiphone_tony_iommi_sg_special_w_case.htm?type=category
prs se mark holcomb svn hl,prs_se_mark_holcomb_svn_hl.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_55/559178/18626767_800.jpg,https://www.thomann.de/gr/prs_se_mark_holcomb_svn_hl.htm?type=category
esp ltd mh 1000 evertune fm stblk,esp_ltd_mh_1000_evertune_fm_stblk.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_43/431808/16395261_800.jpg,https://www.thomann.de/gr/esp_ltd_mh_1000_evertune_fm_stblk.htm?type=category
